year,temperature_1m,temperature_20m,salinity_1m,salinity_20m,air_temperature_mean,barometric_pressure_mean,wind_gust_mean,wind_speed_mean,visibility_mean,wind_direction_mean_simple,wind_direction_mean,current_speed_mean,temperature_mean,current_direction_mean,significant_wave_height,dominant_wave_period
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,11.057937280566344,8.528930656053,31.940756460229363,32.372140368300954,9.787775023170592,NA,8.003223340938648,6.119681657616677,2699.2805089069393,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,9.847320249726662,6.897825982749036,31.494958866752906,32.11201626309488,8.540228411725954,NA,NA,NA,2674.682821667384,NA,NA,NA,NA,NA,NA,NA
2005,10.262851107305936,6.6722077325505555,NA,31.56242219434116,9.026623924037752,NA,6.967395412366244,5.679164723889796,2671.670620102439,NA,NA,NA,NA,NA,NA,NA
2006,10.792539996703537,NA,30.934710401374137,NA,9.973624858984692,1014.146247330174,6.987003891360466,5.706609306859998,2586.5706769901894,NA,NA,NA,NA,NA,NA,NA
2007,10.732190583737049,7.3144552799788745,31.45230383584579,32.157447179879206,9.169802987005173,NA,7.293707187735035,5.928015783998344,2625.13789671096,203.35656767166478,260.11266843904167,NA,NA,NA,NA,NA
2008,10.694830310571586,7.466755228355839,30.884509785824246,31.900093561003793,9.467117156502075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,10.47981530992475,7.980423731317689,31.042915801377724,31.860847780956455,9.064141623974008,1015.4642168685363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,11.168381468439023,7.932990643399414,31.12856110456268,31.811996905452073,NA,NA,7.106703601964639,5.817970992846783,2719.3360423718013,205.05820755256008,265.2081004708363,NA,NA,NA,NA,NA
2011,11.050442002607603,8.411320572688298,NA,31.522914105678655,10.002843628937056,1014.1853276654181,6.926346119373417,5.6843135154903495,2788.5516630981792,195.38664111039185,245.41428723749937,NA,NA,NA,NA,NA
2012,12.03916811224873,9.02146129614152,31.52306263668589,32.222183278557665,10.966904795127373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,11.451805661614689,NA,31.60552447627127,NA,9.819059553747625,1015.466743623409,NA,NA,2742.321623158749,NA,NA,NA,NA,NA,NA,NA
2014,10.487074999537937,7.537633529003177,31.48724952894092,32.17547036043832,9.321967750464271,1014.7483992459488,7.2591474818803805,5.966176788315102,2761.489431331797,197.20502885941627,249.54125559571543,NA,NA,NA,NA,NA
2015,10.958385961151864,8.008605314271408,31.81405187476616,32.285769797305456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,11.71755686095932,8.992730365816637,31.83483817218147,32.21173896343731,10.319574400146463,NA,NA,NA,2776.201865963766,NA,NA,NA,NA,NA,NA,NA
2017,11.263014829116145,8.343004158552853,31.10992553804654,31.908401950676318,10.139751214269218,1015.1754981243979,7.319492114015626,6.060190463152862,NA,195.56309802571218,246.46474518767195,NA,NA,NA,NA,NA
2018,11.141643522268923,8.208710009384982,31.50623017482352,32.07379758981177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,10.897592647872735,7.816806861809998,31.141466666036585,31.889396219206585,9.67911226440013,1015.3331474715004,7.454253892051214,6.073096448859652,2854.7218044217816,200.0941783447683,258.63297354577503,NA,NA,NA,NA,NA
2020,NA,8.630370182729186,NA,31.87801097182554,10.447407157973352,1014.546582868469,7.430893896172626,6.079264066233967,2903.764504072616,203.6430053821804,262.0071347121986,NA,NA,NA,NA,NA
2021,NA,9.83998148599106,NA,32.18835755865311,10.665279487150944,1015.0746525901287,7.373283792087322,5.87008972764914,2957.424838869897,203.40996253485798,272.8368106537554,NA,NA,NA,0.9358958277967788,6.390402053826595
2022,11.696775702067576,9.176316325193568,31.913425165138865,32.00687738765713,10.5129297963304,1015.9569722185431,7.521437854027732,5.973539289614702,2877.285684061932,200.9633106530513,238.6571774837692,18.411568282509158,11.591513038003665,159.07453616777005,0.9536252958867403,6.267329873883597
2023,11.948234555879232,9.19529947108067,30.564592370035545,31.622457199847794,11.065224876396751,1014.5195657042848,7.130843082050225,5.674548497726073,2865.5759076877907,190.99328928872308,235.85399650843524,18.656569305486684,11.806418642102848,168.1090584650827,1.010236344354686,6.681393185413186
2024,11.403756036710728,8.14037111546578,30.82220068106786,31.488965954402122,10.679491233485246,1015.4899027029636,7.454523307066605,5.957368659767055,2917.742309968467,191.02622633181977,247.47636568821702,NA,NA,NA,0.9808286886175032,6.670747452549856
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
